year,stateabbr,state,county,measure,data_value,low_confidence_limit,high_confidence_limit
2023,AK,Alaska,Anchorage,Food insecurity in the past 12 months among adults,9.8,8.0,11.8
2023,AK,Alaska,Anchorage,Fair or poor self-rated health status among adults,15.6,13.2,18.0
2023,AK,Alaska,Anchorage,High cholesterol among adults who have ever been screened,30.9,28.3,33.8
2023,AK,Alaska,Anchorage,Current lack of health insurance among adults aged 18-64 years,9.5,7.9,11.3
2023,AK,Alaska,Anchorage,Chronic obstructive pulmonary disease among adults,6.3,5.4,7.2
2023,AK,Alaska,Anchorage,Visits to doctor for routine checkup within the past year among adults,70.0,67.0,73.2
2023,AK,Alaska,Anchorage,Lack of reliable transportation in the past 12 months among adults,11.3,9.9,12.8
2023,AK,Alaska,Anchorage,Cholesterol screening among adults,74.2,71.6,76.6
2023,AK,Alaska,Anchorage,Diagnosed diabetes among adults,8.3,7.0,9.6
2023,AK,Alaska,Anchorage,Arthritis among adults,22.0,20.1,24.1
2023,AK,Alaska,Anchorage,High cholesterol among adults who have ever been screened,29.4,27.0,32.1
2023,AK,Alaska,Anchorage,High blood pressure among adults,26.2,23.9,28.8
2023,AK,Alaska,Anchorage,No leisure-time physical activity among adults,36.1,32.6,40.5
2023,AK,Alaska,Anchorage,Taking medicine to control high blood pressure among adults with high blood pressure,66.9,64.3,69.5
2023,AK,Alaska,Anchorage,Independent living disability among adults,6.3,5.5,7.3
2023,AK,Alaska,Anchorage,Vision disability among adults,3.1,2.7,3.5
2023,AK,Alaska,Anchorage,High blood pressure among adults,36.1,33.4,39.1
2023,AK,Alaska,Anchorage,Lack of social and emotional support among adults,27.1,23.8,30.3
2023,AK,Alaska,Anchorage,Independent living disability among adults,7.0,6.3,7.9
2023,AK,Alaska,Anchorage,Hearing disability among adults,6.2,5.5,7.0
2023,AK,Alaska,Anchorage,Stroke among adults,2.9,2.6,3.2
2023,AK,Alaska,Anchorage,Current lack of health insurance among adults aged 18-64 years,12.8,10.8,15.1
2023,AK,Alaska,Anchorage,High blood pressure among adults,30.7,28.3,33.4
2023,AK,Alaska,Anchorage,Arthritis among adults,23.6,21.5,26.0
2023,AK,Alaska,Anchorage,Stroke among adults,2.9,2.5,3.4
2023,AK,Alaska,Anchorage,Taking medicine to control high blood pressure among adults with high blood pressure,66.2,63.3,69.2
2023,AK,Alaska,Anchorage,Mobility disability among adults,11.7,10.3,13.5
2023,AK,Alaska,Anchorage,Binge drinking among adults,17.6,15.5,20.1
2023,AK,Alaska,Anchorage,Independent living disability among adults,6.3,5.5,7.3
2023,AK,Alaska,Anchorage,Visits to doctor for routine checkup within the past year among adults,71.8,68.8,74.8
2023,AK,Alaska,Anchorage,Binge drinking among adults,17.3,15.2,19.8
2023,AK,Alaska,Anchorage,Any disability among adults,26.1,23.4,29.1
2023,AK,Alaska,Anchorage,Frequent physical distress among adults,17.3,15.7,19.4
2023,AK,Alaska,Anchorage,Depression among adults,22.0,19.6,24.8
2023,AK,Alaska,Anchorage,Self-care disability among adults,2.4,2.2,2.7
2023,AK,Alaska,Anchorage,Loneliness among adults,34.8,31.6,38.2
2023,AK,Alaska,Anchorage,Loneliness among adults,30.0,26.7,33.4
2023,AK,Alaska,Anchorage,Frequent mental distress among adults,18.4,16.6,20.4
2023,AK,Alaska,Anchorage,Lack of social and emotional support among adults,20.2,17.4,23.1
2023,AK,Alaska,Anchorage,Diagnosed diabetes among adults,7.4,6.4,8.6
2023,AK,Alaska,Anchorage,Cancer (non-skin) or melanoma among adults,10.1,9.2,11.1
2023,AK,Alaska,Anchorage,Obesity among adults,48.2,44.1,52.7
2023,AK,Alaska,Anchorage,Lack of social and emotional support among adults,23.1,20.2,26.2
2023,AK,Alaska,Anchorage,Any disability among adults,34.9,31.6,38.8
2023,AK,Alaska,Anchorage,High blood pressure among adults,29.6,27.2,32.3
2023,AK,Alaska,Anchorage,Utility services shut-off threat in the past 12 months among adults,10.9,9.6,12.4
2023,AK,Alaska,Anchorage,Cognitive disability among adults,10.5,8.9,12.6
2023,AK,Alaska,Anchorage,Visits to doctor for routine checkup within the past year among adults,69.4,66.2,72.7
2023,AK,Alaska,Anchorage,High cholesterol among adults who have ever been screened,31.4,28.8,34.3
2023,AK,Alaska,Anchorage,Self-care disability among adults,3.1,2.7,3.6
2023,AK,Alaska,Anchorage,Lack of social and emotional support among adults,25.6,22.8,28.5
2023,AK,Alaska,Anchorage,Utility services shut-off threat in the past 12 months among adults,4.3,3.5,5.2
2023,AK,Alaska,Anchorage,Coronary heart disease among adults,4.9,4.4,5.5
2023,AK,Alaska,Anchorage,Fair or poor self-rated health status among adults,15.6,13.6,18.0
2023,AK,Alaska,Anchorage,High blood pressure among adults,33.6,31.0,36.5
2023,AK,Alaska,Anchorage,Food insecurity in the past 12 months among adults,40.0,36.6,43.4
