date,respondent,respondent_name,type,type_name,value,unit
2021-10-13,CAL,California,D,Demand,687476,megawatthours
2021-10-13,CAL,California,DF,Day-ahead demand forecast,666855,megawatthours
2021-10-13,CAL,California,DF,Day-ahead demand forecast,667622,megawatthours
2021-10-13,CAL,California,DF,Day-ahead demand forecast,667846,megawatthours
2021-10-13,CAL,California,DF,Day-ahead demand forecast,667247,megawatthours
2021-10-13,CAL,California,DF,Day-ahead demand forecast,666855,megawatthours
2021-10-13,CAL,California,NG,Net generation,548651,megawatthours
2021-10-13,CAL,California,NG,Net generation,548330,megawatthours
2021-10-13,CAL,California,NG,Net generation,549061,megawatthours
2021-10-13,CAL,California,NG,Net generation,548273,megawatthours
2021-10-13,CAL,California,NG,Net generation,548651,megawatthours
2021-10-13,CAL,California,TI,Total interchange,-131056,megawatthours
2021-10-13,CAL,California,TI,Total interchange,-130251,megawatthours
2021-10-13,CAL,California,TI,Total interchange,-129963,megawatthours
2021-10-13,CAL,California,TI,Total interchange,-131092,megawatthours
2021-10-13,CAL,California,TI,Total interchange,-131056,megawatthours
2021-10-14,CAL,California,D,Demand,691050,megawatthours
2021-10-14,CAL,California,D,Demand,690504,megawatthours
2021-10-14,CAL,California,D,Demand,690132,megawatthours
2021-10-14,CAL,California,D,Demand,690862,megawatthours
2021-10-14,CAL,California,D,Demand,691050,megawatthours
2021-10-14,CAL,California,DF,Day-ahead demand forecast,664466,megawatthours
2021-10-14,CAL,California,DF,Day-ahead demand forecast,664102,megawatthours
2021-10-14,CAL,California,DF,Day-ahead demand forecast,664019,megawatthours
2021-10-14,CAL,California,DF,Day-ahead demand forecast,664268,megawatthours
2021-10-14,CAL,California,DF,Day-ahead demand forecast,664466,megawatthours
2021-10-14,CAL,California,NG,Net generation,554548,megawatthours
2021-10-14,CAL,California,NG,Net generation,555939,megawatthours
2021-10-14,CAL,California,NG,Net generation,556152,megawatthours
2021-10-14,CAL,California,NG,Net generation,555407,megawatthours
2021-10-14,CAL,California,NG,Net generation,554548,megawatthours
2021-10-14,CAL,California,TI,Total interchange,-127505,megawatthours
2021-10-14,CAL,California,TI,Total interchange,-125672,megawatthours
2021-10-14,CAL,California,TI,Total interchange,-124685,megawatthours
2021-10-14,CAL,California,TI,Total interchange,-126184,megawatthours
2021-10-14,CAL,California,TI,Total interchange,-127505,megawatthours
2021-10-15,CAL,California,D,Demand,709560,megawatthours
2021-10-15,CAL,California,D,Demand,708779,megawatthours
2021-10-15,CAL,California,D,Demand,708443,megawatthours
2021-10-15,CAL,California,D,Demand,709107,megawatthours
2021-10-15,CAL,California,D,Demand,709560,megawatthours
2021-10-15,CAL,California,DF,Day-ahead demand forecast,694703,megawatthours
2021-10-15,CAL,California,DF,Day-ahead demand forecast,691724,megawatthours
2021-10-15,CAL,California,DF,Day-ahead demand forecast,690267,megawatthours
2021-10-15,CAL,California,DF,Day-ahead demand forecast,693287,megawatthours
2021-10-15,CAL,California,DF,Day-ahead demand forecast,694703,megawatthours
2021-10-15,CAL,California,NG,Net generation,561051,megawatthours
2021-10-15,CAL,California,NG,Net generation,561076,megawatthours
2021-10-15,CAL,California,NG,Net generation,561297,megawatthours
2021-10-15,CAL,California,NG,Net generation,560855,megawatthours
2021-10-15,CAL,California,NG,Net generation,561051,megawatthours
2021-10-15,CAL,California,TI,Total interchange,-142667,megawatthours
2021-10-15,CAL,California,TI,Total interchange,-141891,megawatthours
2021-10-15,CAL,California,TI,Total interchange,-141206,megawatthours
2021-10-15,CAL,California,TI,Total interchange,-142290,megawatthours
2021-10-15,CAL,California,TI,Total interchange,-142667,megawatthours
2021-10-16,CAL,California,D,Demand,664041,megawatthours
2021-10-16,CAL,California,D,Demand,666225,megawatthours
2021-10-16,CAL,California,D,Demand,667565,megawatthours
2021-10-16,CAL,California,D,Demand,665095,megawatthours
2021-10-16,CAL,California,D,Demand,664041,megawatthours
2021-10-16,CAL,California,DF,Day-ahead demand forecast,647892,megawatthours
2021-10-16,CAL,California,DF,Day-ahead demand forecast,650522,megawatthours
2021-10-16,CAL,California,DF,Day-ahead demand forecast,652239,megawatthours
2021-10-16,CAL,California,DF,Day-ahead demand forecast,649110,megawatthours
2021-10-16,CAL,California,DF,Day-ahead demand forecast,647892,megawatthours
2021-10-16,CAL,California,NG,Net generation,526268,megawatthours
2021-10-16,CAL,California,NG,Net generation,526269,megawatthours
2021-10-16,CAL,California,NG,Net generation,526693,megawatthours
2021-10-16,CAL,California,NG,Net generation,526259,megawatthours
2021-10-16,CAL,California,NG,Net generation,526268,megawatthours
2021-10-16,CAL,California,TI,Total interchange,-131126,megawatthours
2021-10-16,CAL,California,TI,Total interchange,-132712,megawatthours
2021-10-16,CAL,California,TI,Total interchange,-133290,megawatthours
2021-10-16,CAL,California,TI,Total interchange,-132358,megawatthours
2021-10-16,CAL,California,TI,Total interchange,-131126,megawatthours
2021-10-17,CAL,California,D,Demand,624226,megawatthours
2021-10-17,CAL,California,D,Demand,626144,megawatthours
2021-10-17,CAL,California,D,Demand,627293,megawatthours
2021-10-17,CAL,California,D,Demand,625068,megawatthours
2021-10-17,CAL,California,D,Demand,624226,megawatthours
2021-10-17,CAL,California,DF,Day-ahead demand forecast,615142,megawatthours
2021-10-17,CAL,California,DF,Day-ahead demand forecast,617992,megawatthours
2021-10-17,CAL,California,DF,Day-ahead demand forecast,619245,megawatthours
2021-10-17,CAL,California,DF,Day-ahead demand forecast,616517,megawatthours
2021-10-17,CAL,California,DF,Day-ahead demand forecast,615142,megawatthours
2021-10-17,CAL,California,NG,Net generation,491589,megawatthours
2021-10-17,CAL,California,NG,Net generation,495018,megawatthours
2021-10-17,CAL,California,NG,Net generation,496003,megawatthours
2021-10-17,CAL,California,NG,Net generation,493359,megawatthours
2021-10-17,CAL,California,NG,Net generation,491589,megawatthours
2021-10-17,CAL,California,TI,Total interchange,-120725,megawatthours
2021-10-17,CAL,California,TI,Total interchange,-119855,megawatthours
2021-10-17,CAL,California,TI,Total interchange,-120050,megawatthours
2021-10-17,CAL,California,TI,Total interchange,-119755,megawatthours
2021-10-17,CAL,California,TI,Total interchange,-120725,megawatthours
2021-10-18,CAL,California,D,Demand,687569,megawatthours
2021-10-18,CAL,California,D,Demand,685343,megawatthours
2021-10-18,CAL,California,D,Demand,683858,megawatthours
