date,base,quote,rate
2023-03-06,USD,KRW,1297.66
2023-03-07,USD,KRW,1305.29
2023-03-08,USD,KRW,1317.78
2023-03-09,USD,KRW,1321.77
2023-03-10,USD,KRW,1320.84
2023-03-13,USD,KRW,1306.92
2023-03-14,USD,KRW,1306.1
2023-03-15,USD,KRW,1321.22
2023-03-16,USD,KRW,1310.43
2023-03-17,USD,KRW,1308.33
2023-03-20,USD,KRW,1308.03
2023-03-21,USD,KRW,1305.07
2023-03-22,USD,KRW,1304.06
2023-03-23,USD,KRW,1283.37
2023-03-24,USD,KRW,1303.97
2023-03-27,USD,KRW,1299.76
2023-03-28,USD,KRW,1298.72
2023-03-29,USD,KRW,1301.09
2023-03-30,USD,KRW,1298.59
2023-03-31,USD,KRW,1305.99
2023-04-03,USD,KRW,1315.02
2023-04-04,USD,KRW,1316.11
2023-04-05,USD,KRW,1311.52
2023-04-06,USD,KRW,1318.2
2023-04-11,USD,KRW,1322.16
2023-04-12,USD,KRW,1325.86
2023-04-13,USD,KRW,1308.35
2023-04-14,USD,KRW,1300.92
2023-04-17,USD,KRW,1315.12
2023-04-18,USD,KRW,1317.31
2023-04-19,USD,KRW,1334.37
2023-04-20,USD,KRW,1325.24
2023-04-21,USD,KRW,1328.69
2023-04-24,USD,KRW,1334.84
2023-04-25,USD,KRW,1338.87
2023-04-26,USD,KRW,1337.68
2023-04-27,USD,KRW,1341.12
2023-04-28,USD,KRW,1339.49
2023-05-02,USD,KRW,1340.92
2023-05-03,USD,KRW,1333.6
2023-05-04,USD,KRW,1323.54
2023-05-05,USD,KRW,1318.23
2023-05-08,USD,KRW,1321.25
2023-05-09,USD,KRW,1324.85
2023-05-10,USD,KRW,1324.01
2023-05-11,USD,KRW,1328.25
2023-05-12,USD,KRW,1335.86
2023-05-15,USD,KRW,1336.7
2023-05-16,USD,KRW,1340.67
2023-05-17,USD,KRW,1337.59
2023-05-18,USD,KRW,1333.64
2023-05-19,USD,KRW,1325.65
2023-05-22,USD,KRW,1315.62
2023-05-23,USD,KRW,1319.93
2023-05-24,USD,KRW,1318.42
2023-05-25,USD,KRW,1326.78
2023-05-26,USD,KRW,1325.89
2023-05-29,USD,KRW,1323.34
2023-05-30,USD,KRW,1317.24
2023-05-31,USD,KRW,1325.74
2023-06-01,USD,KRW,1321.15
2023-06-02,USD,KRW,1302.29
2023-06-05,USD,KRW,1306.35
2023-06-06,USD,KRW,1300.13
2023-06-07,USD,KRW,1300.77
2023-06-08,USD,KRW,1303.77
2023-06-09,USD,KRW,1290.45
2023-06-12,USD,KRW,1287.28
2023-06-13,USD,KRW,1272.8
2023-06-14,USD,KRW,1277.56
2023-06-15,USD,KRW,1282.56
2023-06-16,USD,KRW,1274.55
2023-06-19,USD,KRW,1282.67
2023-06-20,USD,KRW,1286.32
2023-06-21,USD,KRW,1294.41
2023-06-22,USD,KRW,1296.88
2023-06-23,USD,KRW,1310.11
2023-06-26,USD,KRW,1305.71
2023-06-27,USD,KRW,1300.52
2023-06-28,USD,KRW,1311.33
2023-06-29,USD,KRW,1315.39
2023-06-30,USD,KRW,1321.44
2023-07-03,USD,KRW,1308.14
2023-07-04,USD,KRW,1298.4
2023-07-05,USD,KRW,1300.94
2023-07-06,USD,KRW,1302.68
2023-07-07,USD,KRW,1305.94
2023-07-10,USD,KRW,1304.77
2023-07-11,USD,KRW,1294.26
2023-07-12,USD,KRW,1289.06
2023-07-13,USD,KRW,1268.71
2023-07-14,USD,KRW,1268.18
2023-07-17,USD,KRW,1266.18
2023-07-18,USD,KRW,1261.24
2023-07-19,USD,KRW,1265.66
2023-07-20,USD,KRW,1271.08
2023-07-21,USD,KRW,1285.19
2023-07-24,USD,KRW,1280.52
2023-07-25,USD,KRW,1275.57
2023-07-26,USD,KRW,1275.48
2023-07-27,USD,KRW,1279.08
2023-07-28,USD,KRW,1277.68
2023-07-31,USD,KRW,1275.05
2023-08-01,USD,KRW,1288.57
2023-08-02,USD,KRW,1295.19
2023-08-03,USD,KRW,1301.49
2023-08-04,USD,KRW,1311.35
2023-08-07,USD,KRW,1307.7
2023-08-08,USD,KRW,1320.19
2023-08-09,USD,KRW,1314.25
2023-08-10,USD,KRW,1312.57
2023-08-11,USD,KRW,1326.16
2023-08-14,USD,KRW,1335.22
2023-08-15,USD,KRW,1336.9
2023-08-16,USD,KRW,1338.5
2023-08-17,USD,KRW,1337.87
2023-08-18,USD,KRW,1340.79
2023-08-21,USD,KRW,1338.76
2023-08-22,USD,KRW,1336.08
2023-08-23,USD,KRW,1340.36
2023-08-24,USD,KRW,1322.0
2023-08-25,USD,KRW,1323.63
2023-08-28,USD,KRW,1326.55
2023-08-29,USD,KRW,1326.4
